scenario_id,cat,desc,fuel_type,unit,value
scen_0004,fertilizer avoidance,avoided uan-32 manu energy,NA,GJ_stand,-11.05919780752714
scen_0004,fertilizer avoidance,avoided uan-32 manu energy,NA,GJ_hayr,-3.6863992691757135
scen_0004,fertilizer avoidance,avoided uan-32 manu energy,NA,MJ_kgyield,-0.19576952627627647
scen_0004,fertility,"11-52-0 map, nitrogen",NA,GJ_stand,5.72476121801405
scen_0004,fertility,"11-52-0 map, nitrogen",NA,GJ_hayr,1.9082537393380168
scen_0004,fertility,"11-52-0 map, nitrogen",NA,MJ_kgyield,0.1013395194841902
scen_0004,fertility,"11-52-0 map, p2o5",NA,GJ_stand,14.022818266925006
scen_0004,fertility,"11-52-0 map, p2o5",NA,GJ_hayr,4.6742727556416686
scen_0004,fertility,"11-52-0 map, p2o5",NA,MJ_kgyield,0.24823143024946637
scen_0004,field passes,field ops,diesel,GJ_stand,5.986714799106786
scen_0004,field passes,field ops,diesel,GJ_hayr,1.9955715997022618
scen_0004,field passes,field ops,diesel,MJ_kgyield,0.10597661246049947
scen_0004,field passes,harvest,diesel,GJ_stand,14.150090150944653
scen_0004,field passes,harvest,diesel,GJ_hayr,4.71669671698155
scen_0004,field passes,harvest,diesel,MJ_kgyield,0.25048439261404737
scen_0004,irrigation,"sprinkler, surface",diesel,GJ_stand,0.1178461235448984
scen_0004,irrigation,"sprinkler, surface",diesel,GJ_hayr,0.039282041181632796
scen_0004,irrigation,"sprinkler, surface",diesel,MJ_kgyield,0.0020861078878775356
scen_0004,irrigation,"sprinkler, ground",diesel,GJ_stand,0.4239399509342448
scen_0004,irrigation,"sprinkler, ground",diesel,GJ_hayr,0.14131331697808158
scen_0004,irrigation,"sprinkler, ground",diesel,MJ_kgyield,0.007504569934312691
scen_0004,irrigation,"surface, surface",diesel,GJ_stand,2.5757795574813507
scen_0004,irrigation,"surface, surface",diesel,GJ_hayr,0.858593185827117
scen_0004,irrigation,"surface, surface",diesel,MJ_kgyield,0.04559635812075184
