scenario,production_id,assump_id,cat,desc,fuel_type,kgco2e_stand,kgco2e_hayr,kgco2e_mg
tulare_001,cv_001,a_001,carbon credit,co2,NA,-1927.4219754438898,-642.4739918146299,-25.81990127927928
tulare_001,cv_001,a_001,fertility,"11-52-0 map, nitrogen",diesel,203.73196786657542,67.91065595552514,2.7292099834738095
tulare_001,cv_001,a_001,fertility,"11-52-0 map, p2o5",diesel,499.0420127159582,166.34733757198606,6.685207321853524
tulare_001,cv_001,a_001,fertilizer avoidance,avoided uan-32 manu energy,diesel,-787.1462394844957,-262.3820798281652,-10.544674936148807
tulare_001,cv_001,a_001,field passes,field ops,diesel,233.41229112512275,77.80409704170758,3.1268100037269244
tulare_001,cv_001,a_001,field passes,harvest,diesel,1343.6251473016769,447.87504910055895,17.99931156834334
tulare_001,cv_001,a_001,fuel manufacture,field ops,diesel,55.48770349542869,18.495901165142897,0.7433177813259795
tulare_001,cv_001,a_001,fuel manufacture,harvest,diesel,319.4119445171439,106.4706481723813,4.278868343272853
tulare_001,cv_001,a_001,fuel manufacture,"sprinkler, ground",diesel,14.34627558046213,4.782091860154043,0.19218387251580382
tulare_001,cv_001,a_001,fuel manufacture,"surface, ground",diesel,393.4978444926756,131.1659481642252,5.2713290747191905
tulare_001,cv_001,a_001,irrigation,"sprinkler, ground",diesel,60.348452745461664,20.116150915153888,0.8084327729459533
tulare_001,cv_001,a_001,irrigation,"surface, ground",diesel,1655.271846732663,551.7572822442211,22.17415605794615
tulare_001,cv_001,a_001,pesticide manufacture,pesticide,diesel,520.8819853517863,173.62732845059543,6.977777368570655
tulare_001,cv_001,a_001,n2o,"direct, fert n",NA,115.47330330564914,38.49110110188305,1.546889746889747
tulare_001,cv_001,a_001,n2o,"direct, plant n",NA,200.0312540444677,66.67708468148923,2.679634920634921
tulare_001,cv_001,a_001,avoided n2o,"direct, fert n",NA,-446.1468536809171,-148.71561789363903,-5.976619476619476
tulare_001,cv_001,a_001,avoided n2o,"indirect, volatilize",NA,-66.92202805213756,-22.307342684045853,-0.8964929214929214
tulare_001,cv_001,a_001,n2o,"indirect, volatilize",NA,9.23786426445193,3.0792880881506437,0.12375117975117975
tulare_001,cv_001,a_001,avoided n2o,"indirect, leach",NA,-235.56553874352417,-78.5218462478414,-3.1556550836550827
tulare_001,cv_001,a_001,n2o,"indirect, leach",NA,166.58640628086164,55.52880209362055,2.231605024453024
