Value, Category, Count,  Acreage
1, Corn, 1286342, 286075.6
2, Cotton, 2262275, 503117.8
3, Rice, 2701027, 600693.9
4, Sorghum, 29848, 6638.0
5, Soybeans, 162, 36.0
6, Sunflowers, 207741, 46200.5
12, Sweet Corn, 38445, 8550.0
13, Pop or Orn Corn, 26, 5.8
14, Mint, 5984, 1330.8
21, Barley, 355508, 79063.1
22, Durum Wheat, 377105, 83866.1
23, Spring Wheat, 156314, 34763.4
24, Winter Wheat, 2553316, 567843.8
25, Other Small Grains, 30, 6.7
27, Rye, 71378, 15874.1
28, Oats, 634542, 141118.7
29, Millet, 383, 85.2
31, Canola, 952, 211.7
33, Safflower, 251956, 56033.7
35, Mustard, 12, 2.7
36, Alfalfa, 5057268, 1124709.3
37, Other Hay/Non Alfalfa, 1695856, 377149.3
41, Sugarbeets, 137633, 30608.8
42, Dry Beans, 139328, 30985.8
43, Potatoes, 101627, 22601.3
44, Other Crops, 34053, 7573.2
46, Sweet Potatoes, 15523, 3452.2
47, Misc Vegs & Fruits, 140171, 31173.3
48, Watermelons, 57832, 12861.5
49, Onions, 186605, 41500.0
50, Cucumbers, 9527, 2118.8
53, Peas, 28660, 6373.8
54, Tomatoes, 1507685, 335301.1
55, Caneberries, 163, 36.3
57, Herbs, 26784, 5956.6
58, Clover/Wildflowers, 305791, 68006.3
59, Sod/Grass Seed, 16471, 3663.1
61, Fallow/Idle Cropland, 8368749, 1861165.0
66, Cherries, 85890, 19101.5
67, Peaches, 45510, 10121.2
68, Apples, 10596, 2356.5
69, Grapes, 2447634, 544340.7
71, Other Tree Crops, 29553, 6572.4
72, Citrus, 154728, 34410.7
74, Pecans, 3298, 733.5
75, Almonds, 5034751, 1119701.7
76, Walnuts, 1526439, 339471.9
77, Pears, 31820, 7076.6
92, Aquaculture, 6847, 1522.7
111, Open Water, 6096409, 1355808.7
112, Perennial Ice/Snow, 40238, 8948.7
121, Developed/Open Space, 13804152, 3069969.5
122, Developed/Low Intensity, 7178904, 1596549.8
123, Developed/Medium Intensity, 7396927, 1645037.0
124, Developed/High Intensity, 1791250, 398364.4
131, Barren, 20764949, 4618013.5
141, Deciduous Forest, 2456415, 546293.5
142, Evergreen Forest, 97799684, 21750126.2
143, Mixed Forest, 8982163, 1997585.0
152, Shrubland, 183701505, 40854231.3
176, Grass/Pasture, 59785371, 13295946.5
190, Woody Wetlands, 799111, 177718.0
195, Herbaceous Wetlands, 1716887, 381826.5
204, Pistachios, 986079, 219298.7
205, Triticale, 115603, 25709.5
206, Carrots, 119134, 26494.8
207, Asparagus, 17095, 3801.8
208, Garlic, 82092, 18256.8
209, Cantaloupes, 73677, 16385.4
211, Olives, 299433, 66592.3
212, Oranges, 694783, 154516.0
213, Honeydew Melons, 21019, 4674.5
214, Broccoli, 15868, 3529.0
216, Peppers, 24467, 5441.3
217, Pomegranates, 149269, 33196.6
218, Nectarines, 27903, 6205.5
219, Greens, 34136, 7591.7
220, Plums, 185500, 41254.2
221, Strawberries, 73334, 16309.1
222, Squash, 5886, 1309.0
223, Apricots, 5418, 1204.9
224, Vetch, 26768, 5953.1
225, Dbl Crop WinWht/Corn, 965949, 214821.9
226, Dbl Crop Oats/Corn, 480044, 106759.2
227, Lettuce, 93058, 20695.6
229, Pumpkins, 8954, 1991.3
230, Dbl Crop Lettuce/Durum Wht, 32258, 7174.0
231, Dbl Crop Lettuce/Cantaloupe, 5561, 1236.7
232, Dbl Crop Lettuce/Cotton, 2721, 605.1
235, Dbl Crop Barley/Sorghum, 3645, 810.6
236, Dbl Crop WinWht/Sorghum, 76149, 16935.1
237, Dbl Crop Barley/Corn, 5861, 1303.5
238, Dbl Crop WinWht/Cotton, 5030, 1118.6
242, Blueberries, 1333, 296.5
243, Cabbage, 8893, 1977.8
244, Cauliflower, 4670, 1038.6
245, Celery, 275, 61.2
246, Radishes, 1078, 239.7
247, Turnips, 1183, 263.1
248, Eggplants, 433, 96.3
