system,flow_type,flow_cat,flow_desc,units,name,value
tulare_county,input,field ops,chisel,pass/stand life,best,1
tulare_county,input,field ops,chisel,pass/stand life,mid,1
tulare_county,input,field ops,chisel,pass/stand life,worst,1
tulare_county,input,field ops,disk,pass/stand life,best,2
tulare_county,input,field ops,disk,pass/stand life,mid,2
tulare_county,input,field ops,disk,pass/stand life,worst,2
tulare_county,input,field ops,disk border ridges,pass/stand life,best,1
tulare_county,input,field ops,disk border ridges,pass/stand life,mid,1
tulare_county,input,field ops,disk border ridges,pass/stand life,worst,1
tulare_county,input,field ops,fertilize,pass/stand life,best,3
tulare_county,input,field ops,fertilize,pass/stand life,mid,3
tulare_county,input,field ops,fertilize,pass/stand life,worst,3
tulare_county,input,field ops,insect control,pass/stand life,best,6
tulare_county,input,field ops,insect control,pass/stand life,mid,6
tulare_county,input,field ops,insect control,pass/stand life,worst,6
tulare_county,input,field ops,laser level,pass/stand life,best,1
tulare_county,input,field ops,laser level,pass/stand life,mid,1
tulare_county,input,field ops,laser level,pass/stand life,worst,1
tulare_county,input,field ops,plant,pass/stand life,best,1
tulare_county,input,field ops,plant,pass/stand life,mid,1
tulare_county,input,field ops,plant,pass/stand life,worst,1
tulare_county,input,field ops,roll,pass/stand life,best,3
tulare_county,input,field ops,roll,pass/stand life,mid,3
tulare_county,input,field ops,roll,pass/stand life,worst,3
tulare_county,input,field ops,stand termination,pass/stand life,best,1
tulare_county,input,field ops,stand termination,pass/stand life,mid,1
tulare_county,input,field ops,stand termination,pass/stand life,worst,1
tulare_county,input,field ops,weed control,pass/stand life,best,10
tulare_county,input,field ops,weed control,pass/stand life,mid,10
tulare_county,input,field ops,weed control,pass/stand life,worst,10
