fuel_type,source,unit,value
diesel,greet,btu used/btu produced,0.237724
gasoline,greet,btu used/btu produced,0.219472
electricity,greet,btu used/btu produced,1.0724019999999999
NA,NA,btu used/btu produced,NA
NA,NA,btu used/btu produced,NA
NA,NA,btu used/btu produced,NA
NA,NA,btu used/btu produced,NA
NA,NA,btu used/btu produced,NA
NA,NA,btu used/btu produced,NA
NA,NA,btu used/btu produced,NA
NA,NA,btu used/btu produced,NA
NA,NA,btu used/btu produced,7.59e-7
NA,NA,btu used/btu produced,8.82e-7
NA,NA,btu used/btu produced,1.1770000000000001e-6
