desc,diesel_Lha
chisel,11.69240525
disk,7.0154433
disk border ridges,7.0154433
laser level,8.418531
plant,5.0511193
roll,3.3830025666666668
stand termination,7.0154433
weed control,1.2160101
insect control,1.2160101
"fertilize, map",1.2160101
"haylage, cut",3.2738733
"haylage, chop",6.828365
"hay, swath",6.828365
"hay, rake",3.2738733
"hay, bale",3.554491
"hay, stack",6.828365
