system,flow_type,flow_cat,flow_desc,units,name,value
tulare_county,input,fertility,11-52-0-MAP,kg,mid,224.17025989781573
tulare_county,input,fertility,11-52-0-MAP,kg,best,224.17025989781573
tulare_county,input,fertility,11-52-0-MAP,kg,worst,224.17025989781573
central_valley_organic,input,fertility,composted poultry litter,kg,mid,8070.129356321367
central_valley_organic,input,fertility,composted poultry litter,kg,best,8070.129356321367
central_valley_organic,input,fertility,composted poultry litter,kg,worst,8070.129356321367
