production_id,cat,desc,unit,value
cv_001,field ops,chisel,pass/stand,1
cv_001,field ops,disk,pass/stand,2
cv_001,field ops,disk border ridges,pass/stand,1
cv_001,field ops,"fertilize, map",pass/stand,2
cv_001,field ops,insect control,pass/stand,6
cv_001,field ops,laser level,pass/stand,1
cv_001,field ops,plant,pass/stand,1
cv_001,field ops,roll,pass/stand,3
cv_001,field ops,stand termination,pass/stand,1
cv_001,field ops,weed control,pass/stand,10
