program,year,state,ag_district,county,name,value
census,2017,california,sierra mountains,amador,acres_harvested,781
census,2017,california,sierra mountains,amador,irrigated_acres_harvested,760
census,2017,california,sierra mountains,amador,nonirr_acres_harvested,21
census,2012,california,sierra mountains,amador,acres_harvested,1546
census,2012,california,sierra mountains,amador,irrigated_acres_harvested,1546
census,2012,california,sierra mountains,amador,nonirr_acres_harvested,0
census,2007,california,sierra mountains,amador,acres_harvested,1613
census,2007,california,sierra mountains,amador,irrigated_acres_harvested,1613
census,2007,california,sierra mountains,amador,nonirr_acres_harvested,0
census,1997,california,sierra mountains,amador,acres_harvested,991
census,1997,california,sierra mountains,amador,irrigated_acres_harvested,780
census,1997,california,sierra mountains,amador,nonirr_acres_harvested,211
census,2017,california,sacramento valley,butte,acres_harvested,1370
census,2017,california,sacramento valley,butte,irrigated_acres_harvested,1370
census,2017,california,sacramento valley,butte,nonirr_acres_harvested,0
census,2012,california,sacramento valley,butte,acres_harvested,1688
census,2012,california,sacramento valley,butte,irrigated_acres_harvested,1425
census,2012,california,sacramento valley,butte,nonirr_acres_harvested,263
census,2007,california,sacramento valley,butte,acres_harvested,1349
census,2007,california,sacramento valley,butte,irrigated_acres_harvested,1156
census,2007,california,sacramento valley,butte,nonirr_acres_harvested,193
census,2002,california,sacramento valley,butte,acres_harvested,1465
census,2002,california,sacramento valley,butte,irrigated_acres_harvested,1465
census,2002,california,sacramento valley,butte,nonirr_acres_harvested,0
census,1997,california,sacramento valley,butte,acres_harvested,2311
census,1997,california,sacramento valley,butte,irrigated_acres_harvested,2301
census,1997,california,sacramento valley,butte,nonirr_acres_harvested,10
census,2012,california,sierra mountains,calaveras,acres_harvested,80
census,2012,california,sierra mountains,calaveras,irrigated_acres_harvested,0
census,2012,california,sierra mountains,calaveras,nonirr_acres_harvested,80
census,2017,california,sacramento valley,colusa,acres_harvested,5877
census,2017,california,sacramento valley,colusa,irrigated_acres_harvested,5228
census,2017,california,sacramento valley,colusa,nonirr_acres_harvested,649
census,2012,california,sacramento valley,colusa,acres_harvested,9234
census,2012,california,sacramento valley,colusa,irrigated_acres_harvested,7801
census,2012,california,sacramento valley,colusa,nonirr_acres_harvested,1433
census,2007,california,sacramento valley,colusa,acres_harvested,14900
census,2007,california,sacramento valley,colusa,irrigated_acres_harvested,14831
census,2007,california,sacramento valley,colusa,nonirr_acres_harvested,69
census,2002,california,sacramento valley,colusa,acres_harvested,13505
census,2002,california,sacramento valley,colusa,irrigated_acres_harvested,13186
census,2002,california,sacramento valley,colusa,nonirr_acres_harvested,319
census,1997,california,sacramento valley,colusa,acres_harvested,7849
census,1997,california,sacramento valley,colusa,irrigated_acres_harvested,7123
census,1997,california,sacramento valley,colusa,nonirr_acres_harvested,726
census,2017,california,central coast,contra costa,acres_harvested,2630
census,2017,california,central coast,contra costa,irrigated_acres_harvested,2146
census,2017,california,central coast,contra costa,nonirr_acres_harvested,484
census,2012,california,central coast,contra costa,acres_harvested,4732
census,2012,california,central coast,contra costa,irrigated_acres_harvested,4476
census,2012,california,central coast,contra costa,nonirr_acres_harvested,256
census,2007,california,central coast,contra costa,acres_harvested,3696
census,2007,california,central coast,contra costa,irrigated_acres_harvested,3696
census,2007,california,central coast,contra costa,nonirr_acres_harvested,0
census,2002,california,central coast,contra costa,acres_harvested,4142
census,2002,california,central coast,contra costa,irrigated_acres_harvested,3368
census,2002,california,central coast,contra costa,nonirr_acres_harvested,774
census,1997,california,central coast,contra costa,acres_harvested,3374
census,1997,california,central coast,contra costa,irrigated_acres_harvested,3184
census,1997,california,central coast,contra costa,nonirr_acres_harvested,190
census,2017,california,san joaquin valley,fresno,acres_harvested,43701
census,2017,california,san joaquin valley,fresno,irrigated_acres_harvested,41279
census,2017,california,san joaquin valley,fresno,nonirr_acres_harvested,2422
census,2012,california,san joaquin valley,fresno,acres_harvested,62231
census,2012,california,san joaquin valley,fresno,irrigated_acres_harvested,61682
census,2012,california,san joaquin valley,fresno,nonirr_acres_harvested,549
census,2007,california,san joaquin valley,fresno,acres_harvested,69290
census,2007,california,san joaquin valley,fresno,irrigated_acres_harvested,69162
census,2007,california,san joaquin valley,fresno,nonirr_acres_harvested,128
census,2002,california,san joaquin valley,fresno,acres_harvested,75799
census,2002,california,san joaquin valley,fresno,irrigated_acres_harvested,72619
census,2002,california,san joaquin valley,fresno,nonirr_acres_harvested,3180
census,1997,california,san joaquin valley,fresno,acres_harvested,65261
census,1997,california,san joaquin valley,fresno,irrigated_acres_harvested,65084
census,1997,california,san joaquin valley,fresno,nonirr_acres_harvested,177
census,2017,california,sacramento valley,glenn,acres_harvested,7076
census,2017,california,sacramento valley,glenn,irrigated_acres_harvested,0
