flow_type,flow_cat,flow_desc,name,units,tulare_county,organic_central_valley
input,seed,round-up ready seed,mid,kg,28.021282487226966,NA
input,seed,round-up ready seed,best,kg,13.450215593868943,NA
input,seed,round-up ready seed,worst,kg,28.021282487226966,NA
input,seed,seed,mid,kg,NA,28.021282487226966
input,seed,seed,best,kg,NA,28.021282487226966
input,seed,seed,worst,kg,NA,28.021282487226966
