field ops,,,,,
"this is the 'base', what was presented in the enterprise budget",,,,,
capitalization doesn't matter,,,,,
imperial,,,,,
,,,,,
scenario_id,cat,desc,value,unit,notes
scen_2000,field ops,disk,1,pass/stand life,est
scen_2000,field ops,chisel,1,pass/stand life,est
scen_2000,field ops,disk,1,pass/stand life,est
scen_2000,field ops,laser level,1,pass/stand life,est
scen_2000,field ops,corrugate,1,pass/stand life,est
scen_2000,field ops,disk,1,pass/stand life,est
scen_2000,field ops,"fertilize, surface",1,pass/stand life,est
scen_2000,field ops,disk,1,pass/stand life,est
scen_2000,field ops,laser level,1,pass/stand life,est
scen_2000,field ops,laser level,1,pass/stand life,est
scen_2000,field ops,plant,1,pass/stand life,est
scen_2000,field ops,weed control,1,pass/stand life,est
scen_2000,field ops,"insect control, aerial",1,pass/stand life,est
scen_2000,field ops,disk border ridges,1,pass/stand life,est
scen_2000,field ops,spike,2,pass/stand life,yr1
scen_2000,field ops,"fertilize, inject",1,pass/stand life,yr1
scen_2000,field ops,weed control,2,pass/stand life,yr1
scen_2000,field ops,"insect control, aerial",4,pass/stand life,yr1
scen_2000,field ops,spike,2,pass/stand life,yr2
scen_2000,field ops,"fertilize, inject",1,pass/stand life,yr2
scen_2000,field ops,weed control,2,pass/stand life,yr2
scen_2000,field ops,"insect control, aerial",4,pass/stand life,yr2
scen_2000,field ops,spike,2,pass/stand life,yr3
scen_2000,field ops,"fertilize, inject",1,pass/stand life,yr3
scen_2000,field ops,weed control,2,pass/stand life,yr3
scen_2000,field ops,"insect control, aerial",4,pass/stand life,yr3
scen_2000,field ops,stand termination,1,pass/stand life,yr3
