scenario_id,cat,desc,unit,value,timing
scen_0005,field ops,disk,pass,1,establishment
,,roll,pass,1,establishment
,,chisel,pass,1,establishment
,,roll,pass,1,establishment
,,laser level,pass,1,establishment
,,disk border ridges,pass,1,establishment
,,"fertilize, map",pass,1,establishment
,,disk,pass,1,establishment
,,roll,pass,1,establishment
,,plant,pass,1,establishment
,,weed control,pass,1,establishment
,,weed control,pass,1,year 1
,,insect control,pass,1,year 1
,,insect control,pass,1,year 1
,,weed control,pass,1,year 1
,,weed control,pass,1,year 1
,,weed control,pass,1,year 2
,,insect control,pass,1,year 2
,,insect control,pass,1,year 2
,,"fertilize, map",pass,1,year 2
,,weed control,pass,1,year 2
,,weed control,pass,1,year 2
,,weed control,pass,1,year 3
,,insect control,pass,1,year 3
,,insect control,pass,1,year 3
,,"fertilize, map",pass,1,year 3
,,weed control,pass,1,year 3
,,weed control,pass,1,year 3
,,weed control,pass,1,year 4
,,insect control,pass,1,year 4
,,weed control,pass,1,year 4
,,insect control,pass,1,year 4
,,stand termination,pass,1,year 4
