field ops entry template,,,,,,,
"gets procesed, then overwrites the 'base' fieldops data",,,,,,,
needed something separate bc it is complicated,,,,,,,
"just enter everything from the visual, capitalization doesn't matter",,,,,,,
,,,,,,,
scenario_id,location,cat,desc,unit,value,timing,notes
scen_0007,tulare,pesticide,chateau,oz/ac,0,,eliminate pesticide application
,,,coragen,fl oz/ac,0,,
,,,gramoxone,pint/ac,0,,
,,,prowl h2o,gal/ac,0,,
,,,roundup powermaxx,pint/ac,0,,
,,,warrior ii,fl oz/ac,0,,
