scenario_id,cat,desc,unit,value
scen_0005,pesticide,chateau,oz/ac,16
scen_0005,pesticide,coragen,fl oz/ac,14
scen_0005,pesticide,gramoxone,pint/ac,6
scen_0005,pesticide,prowl h2o,gal/ac,4
scen_0005,pesticide,roundup powermaxx,pint/ac,10
scen_0005,pesticide,warrior ii,fl oz/ac,6
