overwrites the 'other-base' file,,,,,
the scen-other.csv serves as a base for the changes,,,,,
,,,,,
,,,,,
,,,,,
scenario_id,cat,desc,unit,value,notes
scen_0001,irrigation,fraction from surface source,frac,0.5,Water is 50/50 ground and surface
scen_0002,irrigation,fraction from surface source,frac,0,100% of water is from 150 foot depth well
scen_0003,irrigation,fraction from surface source,frac,1,100% of water is from surface sources
scen_0004,yield,"hay, harvests",harvest/year,5,"deficit irrigation scenario, no July/Aug hay harvests"
,yield,hay production,ton/ac/yr at 10% moisture,7,lower yields due to no harvesting
,irrigation,"surface, prod",ac-in/year,51,less water used
scen_0005,yield,stand life,years,4,field ops and pests data were also changed
